STATION,STATION_NAME,DATE,EMXT,EMNT
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19800101,55.9,12.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19800201,61.0,9.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19800401,73.9,30.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19800501,88.0,39.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19800601,98.1,48.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19800701,100.9,55.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19800801,97.0,57.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19800901,100.0,43.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19801001,82.9,34.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19801101,69.1,24.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19801201,73.0,3.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19810101,60.1,5.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19810201,72.0,10.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19810301,77.0,21.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19810401,84.9,30.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19810501,89.1,39.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19810601,96.1,54.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19810701,98.1,57.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19810801,93.0,48.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19810901,91.0,41.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19811001,84.9,28.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19811101,73.0,24.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19811201,64.9,14.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19820101,54.0,-9.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19820201,66.9,18.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19820301,68.0,21.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19820401,81.0,18.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19820501,88.0,42.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19820601,91.0,53.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19820701,97.0,55.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19820801,91.9,42.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19820901,91.9,45.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19821001,89.1,30.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19821101,82.0,23.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19821201,75.0,14.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19830101,59.0,15.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19830201,61.0,1.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19830301,79.0,24.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19830401,88.0,30.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19830501,86.0,39.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19830601,93.0,52.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19830701,98.1,54.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19830801,102.9,52.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19830901,99.0,37.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19831001,86.0,26.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19831101,98.1,25.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19831201,66.0,0.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19840101,61.0,-4.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19840201,69.1,15.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19840301,69.1,18.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19840401,79.0,28.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19840501,89.1,36.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19840601,96.1,42.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19840701,93.9,57.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19840801,91.9,50.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19840901,93.0,39.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19841001,84.0,39.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19841101,70.0,19.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19841201,77.0,18.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19850101,64.9,-6.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19850201,80.1,12.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19850301,82.9,19.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19850401,93.0,26.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19850501,88.0,36.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19850601,91.9,48.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19850701,95.0,53.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19850801,99.0,53.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19850901,97.0,39.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19851001,82.0,28.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19851101,75.9,30.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19851201,61.0,8.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19860101,68.0,8.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19860201,66.9,12.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19860301,84.9,12.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19860401,82.9,33.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19860501,91.9,34.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19860601,91.0,43.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19860701,93.9,51.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19860801,93.0,42.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19860901,93.0,42.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19861001,90.0,30.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19861101,75.9,16.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19861201,61.0,14.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19870101,61.0,1.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19870201,57.9,10.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19870301,75.0,19.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19870401,82.9,26.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19870501,93.9,37.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19870601,95.0,46.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19870701,99.0,55.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19870801,98.1,50.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19870901,88.0,43.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19871001,80.1,27.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19871101,78.1,10.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19871201,64.9,16.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19880101,55.9,1.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19880201,71.1,8.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19880301,80.1,19.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19880401,78.1,32.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19880501,104.0,37.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19880601,100.9,43.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19880701,102.9,46.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19880801,102.9,51.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19880901,91.9,42.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19881001,80.1,21.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19881101,71.1,21.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19881201,69.1,5.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19890101,63.0,12.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19890201,44.1,-9999
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19890301,84.9,23.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19890401,81.0,28.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19890501,89.1,37.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19890601,95.0,51.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19890701,97.0,53.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19890801,95.0,45.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19890901,98.1,34.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19891001,86.0,28.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19891201,54.0,7.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19900101,70.0,21.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19900201,73.0,14.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19900301,89.1,19.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19900401,93.0,27.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19900501,84.0,39.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19900601,96.1,50.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19900701,100.0,61.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19900801,93.9,60.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19900901,91.9,39.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19901001,88.0,30.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19901101,81.0,27.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19901201,71.1,19.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19910101,59.0,14.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19910201,73.9,16.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19910301,80.1,25.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19910401,89.1,28.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19910501,100.9,46.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19910601,100.0,52.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19910701,102.0,62.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19910801,99.0,60.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19910901,97.0,42.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19911001,87.1,32.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19911101,75.9,21.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19911201,73.9,19.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19920101,66.0,12.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19920201,64.9,15.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19920301,73.9,21.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19920401,87.1,30.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19920501,90.0,37.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19920601,91.0,48.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19920701,98.1,59.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19920801,95.0,52.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19920901,89.1,39.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19921001,84.9,28.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19921101,72.0,25.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19921201,60.1,16.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19930101,71.1,19.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19930201,64.9,10.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19930301,69.1,12.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19930401,82.9,33.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19930501,91.0,43.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19930601,96.1,46.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19930701,100.9,61.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19930801,97.0,57.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19930901,97.0,45.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19931001,82.0,35.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19931101,82.9,26.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19931201,57.9,9.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19940101,61.0,-5.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19940201,66.9,15.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19940301,82.9,19.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19940401,91.0,34.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19940501,91.0,39.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19940601,100.0,48.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19940701,97.0,59.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19940801,93.0,52.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19940901,91.9,48.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19941001,81.0,34.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19941101,80.1,23.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19941201,70.0,21.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19950101,73.0,14.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19950201,61.0,6.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19950301,79.0,21.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19950401,90.0,28.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19950501,88.0,41.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19950601,93.9,52.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19950701,100.9,55.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19950801,100.0,59.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19960101,62.1,10.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19960201,71.1,0.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19960301,71.1,12.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19960401,88.0,32.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19960501,97.0,37.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19960601,93.0,50.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19960701,95.0,57.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19960801,93.9,60.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19960901,91.0,48.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19961001,80.1,35.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19961101,71.1,21.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19961201,63.0,15.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19970101,72.0,6.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19970201,70.0,24.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19970301,73.0,21.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19970401,75.9,28.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19970501,93.0,35.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19970601,96.1,46.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19970701,98.1,55.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19970801,104.0,55.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19970901,89.1,43.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19971001,89.1,28.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19971101,66.0,19.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19971201,62.1,19.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980101,70.0,16.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980201,64.0,21.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980301,90.0,19.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980401,86.0,33.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980501,95.0,46.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980601,99.0,52.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980701,100.9,57.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980801,100.0,52.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980901,98.1,45.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981001,87.1,35.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981101,75.9,25.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981201,81.0,14.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19990101,73.9,7.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19990201,77.0,17.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19990301,78.1,12.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19990401,88.0,35.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19990501,93.9,42.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19990601,100.9,53.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19990701,104.0,59.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19990801,104.0,57.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19990901,91.0,43.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19991001,81.0,33.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19991101,77.0,24.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19991201,70.0,19.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20000101,71.1,10.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20000201,82.0,15.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20000301,86.0,23.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20000401,82.9,32.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20000501,98.1,39.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20000601,99.0,46.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20000701,93.9,55.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20000801,96.1,53.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20000901,90.0,39.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20001001,88.0,30.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20001101,73.9,18.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20001201,60.1,12.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20010101,60.1,15.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20010201,72.0,18.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20010301,64.9,23.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20010401,91.0,28.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20010501,95.0,39.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20010601,99.0,48.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20010701,96.1,55.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20010801,102.0,60.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20010901,91.0,41.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20011001,87.1,28.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20011101,82.9,25.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20021201,62.1,12.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20030101,63.0,9.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20030201,53.1,15.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20030301,78.1,19.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20030401,87.1,32.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20030501,84.0,43.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20030601,93.9,53.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20030701,93.9,63.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20030801,93.9,59.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20030901,87.1,46.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20031001,79.0,34.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20031101,82.9,27.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20031201,62.1,25.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20040101,73.0,7.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20040201,60.1,14.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20040301,79.0,24.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20040401,91.9,30.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20040501,91.9,45.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20040601,91.9,55.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20040701,91.9,64.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20040801,91.9,55.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20040901,88.0,48.9
